Diseases,Symptoms,Specialist,Weight
ileus,"headache , diarrhea , lower abdominal pain , pain of the anus , sharp abdominal pain , nausea , burning abdominal pain , constipation , vomiting",Gastroenterologist,89
sickle cell crisis,"sharp chest pain , leg pain , hip pain , sharp abdominal pain , vomiting , back pain , ache all over , low back pain , knee pain , arm pain , burning abdominal pain",Hematologist,60
urethritis,"retention of urine , suprapubic pain , sharp abdominal pain , vaginal itching , frequent urination , blood in urine , painful urination , penis pain , penile discharge",Urologist,64
prostatitis,"retention of urine , sharp abdominal pain , frequent urination , blood in urine , back pain , impotence , fever , lower abdominal pain , chills , painful urination",Urologist,55
otitis externa (swimmer's ear),"cough , diminished hearing , ringing in ear , itchy ear(s) , sore throat , facial pain , plugged feeling in ear , fever , ear pain , fluid in ear , redness in ear",Otolaryngologist,34
poisoning due to anticonvulsants,"dizziness , difficulty speaking , problems with movement , depression",Toxicologist,96
testicular torsion,"emotional symptoms , symptoms of the scrotum and testes , back pain , swelling of scrotum , pain in testicles , sharp abdominal pain",Urologist,37
tricuspid valve disease,"anxiety and nervousness , emotional symptoms",Cardiologist,36
urethral stricture,"suprapubic pain , painful urination , involuntary urination , blood in urine , symptoms of bladder , symptoms of the scrotum and testes , retention of urine , symptoms of prostate",Urologist,63
vitamin d deficiency,"hot flashes , arm stiffness or tightness , fatigue",Endocrinologist,41
hydatidiform mole,"dizziness , sharp abdominal pain , diminished vision , pain during pregnancy , spotting or bleeding during pregnancy",Obstetrician,84
pain disorder affecting the neck,"headache , arm pain , back pain , low back pain , insomnia , neck pain , neck stiffness or tightness , disturbance of memory , dizziness",Psychiatrist,53
tuberculosis,"cough , vaginal itching , shortness of breath , congestion in chest",Pulmonologist,81
pelvic fistula,"dizziness , elbow weakness , vaginal discharge",Obstetrician,33
acute bronchiolitis,"cough , nasal congestion , irritable infant , vomiting , wheezing , decreased appetite , fever , difficulty breathing , pulling at ears , hurts to breath , coryza , shortness of breath",Pediatric Pulmonologist,46
presbyopia,"difficulty speaking , symptoms of eye , pain in eye , abnormal movement of eyelid , foreign body sensation in eye , spots or clouds in vision , diminished vision",Ophthalmologist,30
dementia,"depressive or psychotic symptoms , insomnia , abnormal involuntary movements , hostile behavior , problems with movement , disturbance of memory , focal weakness , delusions or hallucinations",Neurologist,59
insect bite,"skin swelling , hand or finger swelling , lip swelling , leg swelling , fluid retention , itching of skin , skin lesion , abnormal appearing skin , peripheral edema , skin rash",Dermatologist,69
paroxysmal ventricular tachycardia,"shortness of breath , dizziness , chest tightness , irregular heartbeat , weight gain , increased heart rate , fatigue , sharp chest pain , fainting , decreased heart rate",Cardiologist,85
congenital heart defect,"sharp chest pain , lack of growth , arm swelling , hand or finger stiffness or tightness",Cardiologist,59
connective tissue disorder,"difficulty in swallowing , feeling ill , joint pain",Rheumatologist,63
foreign body in the eye,"symptoms of eye , eye burns or stings , white discharge from eye , eye redness , lacrimation , itchiness of eye , foreign body sensation in eye , pain in eye",Ophthalmologist,79
poisoning due to gas,"shortness of breath , sharp chest pain , dizziness , wheezing , headache , drainage in throat , cough",Emergency Medicine Specialist,92
pyogenic skin infection,"skin swelling , hand or finger swelling , abnormal appearing skin , skin lesion , foot or toe pain , leg swelling , leg pain , foot or toe swelling , hand or finger pain , skin rash , peripheral edema",Infectious Disease Specialist,30
endometrial hyperplasia,"back weakness , involuntary urination , heavy menstrual flow , vaginal bleeding after menopause , unpredictable menstruation",Gynecologist,42
acanthosis nigricans,"skin lesion , acne or pimples , weight gain , skin growth",Dermatologist,89
central atherosclerosis,"shortness of breath , blood in urine , fatigue , irregular heartbeat",Cardiologist,39
viral exanthem,"cough , nasal congestion , skin swelling , vomiting , abnormal appearing skin , itching of skin , skin rash , decreased appetite , fever , pulling at ears",Infectious Disease Specialist,73
noninfectious gastroenteritis,"sharp abdominal pain , headache , decreased appetite , chills , rectal bleeding , blood in stool , burning abdominal pain , fever , fluid retention , nausea , vomiting , diarrhea",Gastroenterologist,44
benign prostatic hyperplasia (bph),"retention of urine , swelling of scrotum , impotence , excessive urination at night , hesitancy , low urine output , pain in testicles , involuntary urination , blood in urine , symptoms of bladder , symptoms of prostate , frequent urination",Urologist,89
menopause,"vaginal itching , involuntary urination , hot flashes , sweating , absence of menstruation , unpredictable menstruation",Gynecologist,75
primary immunodeficiency,"cough , arm stiffness or tightness , frontal headache , decreased appetite , fatigue",Immunologist,51
ovarian cancer,"groin mass , stomach bloating , sharp abdominal pain , decreased appetite",Oncologist,45
cataract,"diminished vision , double vision , symptoms of eye , pain in eye , abnormal movement of eyelid , lacrimation , blindness , cloudy eye , itchiness of eye , spots or clouds in vision",Ophthalmologist,67
dislocation of the hip,"hip pain , abusing alcohol , leg pain",Orthopedic Surgeon,54
spinal stenosis,"arm pain , neck pain , paresthesia , shoulder pain , lower body pain , leg pain , hip pain , headache , problems with movement , loss of sensation , back pain , low back pain",Neurologist,69
intestinal obstruction,"sharp abdominal pain , vomiting , stomach bloating , retention of urine , vaginal itching , burning abdominal pain , pain of the anus , nausea , constipation",Gastroenterologist,43
heart contusion,"depression , elbow weakness",Cardiologist,82
congenital malformation syndrome,"diminished hearing , lack of growth , seizures , gum pain",Geneticist,74
sporotrichosis,"wrist pain , knee pain",Infectious Disease Specialist,74
lymphangitis,"arm pain , neck swelling",Infectious Disease Specialist,37
wernicke korsakoff syndrome,"anxiety and nervousness , depressive or psychotic symptoms , abusing alcohol",Neurologist,30
intestinal disease,"fainting , sharp abdominal pain , nausea , vomiting , diarrhea , burning abdominal pain , sharp chest pain , regurgitation , regurgitation.1",Gastroenterologist,30
acute bronchitis,"shortness of breath , sharp chest pain , sore throat , nasal congestion , headache , wheezing , fever , coughing up sputum , congestion in chest , cough , difficulty breathing , coryza",Pulmonologist,70
persistent vomiting of unknown cause,"dizziness , abnormal involuntary movements , vomiting , fever , diarrhea , sharp abdominal pain , nausea",Gastroenterologist,40
open wound of the foot,"foot or toe pain , foot or toe swelling , irregular appearing nails , foot or toe lump or mass , skin lesion , skin on leg or foot looks infected",Podiatrist,51
myocarditis,"sharp chest pain , dizziness , palpitations",Cardiologist,58
preeclampsia,"sharp abdominal pain , headache , lower abdominal pain , vaginal redness , uterine contractions , spots or clouds in vision , problems during pregnancy , recent pregnancy , pain during pregnancy",Obstetrician,76
ischemic heart disease,"shortness of breath , dizziness , chest tightness , palpitations , throat feels tight , peripheral edema , muscle pain , difficulty breathing , fatigue , sharp chest pain , lymphedema",Cardiologist,76
neurofibromatosis,"abnormal involuntary movements , groin mass , abnormal appearing skin , headache",Neurologist,52
chickenpox,"cough , pain in testicles , abnormal appearing skin , fever , itching of skin , skin rash",Pediatrician,48
pancreatic cancer,"jaundice , nausea , ache all over , stomach bloating , diarrhea , sharp abdominal pain , arm swelling",Oncologist,59
neuropathy due to drugs,"cough , vomiting , foot or toe pain , problems with movement , loss of sensation",Neurologist,34
croup,"hoarse voice , nasal congestion , coryza , abnormal breathing sounds , shortness of breath , wheezing , fever , sore throat , vomiting , cough , pulling at ears",Pediatrician,38
idiopathic excessive menstruation,"sharp abdominal pain , cramps and spasms , blood clots during menstrual periods , long menstrual periods , unpredictable menstruation , painful menstruation , frequent menstruation , vaginal discharge , intermenstrual bleeding , heavy menstrual flow , involuntary urination",Gynecologist,49
amblyopia,"pus draining from ear , eye deviation , diminished vision , cross-eyed , pain in eye",Ophthalmologist,38
meckel diverticulum,"lower abdominal pain , knee lump or mass",Pediatric Surgeon,71
dislocation of the wrist,"depression , elbow weakness , hand or finger pain , arm pain",Orthopedic Surgeon,64
ear drum damage,"cough , diminished hearing , pus draining from ear , ear pain , pulling at ears , redness in ear , bleeding from ear , ringing in ear , fluid in ear , nasal congestion , plugged feeling in ear",Otolaryngologist,61
erectile dysfunction,"retention of urine , pain in testicles , involuntary urination , pain during intercourse , frequent urination , excessive urination at night , loss of sex drive , blood in urine , impotence , symptoms of prostate",Urologist,84
temporary or benign blood in urine,"suprapubic pain , painful urination , involuntary urination , frequent urination , lower abdominal pain , regurgitation , regurgitation.1 , retention of urine , sharp abdominal pain , back pain , blood in urine , symptoms of bladder",Urologist,51
kidney disease due to longstanding hypertension,"difficulty speaking , feeling cold , symptoms of the kidneys , shortness of breath",Nephrologist,68
chondromalacia of the patella,"bones are painful , knee weakness , leg pain , knee swelling , problems with movement , knee pain",Orthopedic Surgeon,64
onychomycosis,"skin swelling , abnormal appearing skin , foot or toe pain , skin on leg or foot looks infected , skin dryness, peeling, scaliness, or roughness , skin growth , irregular appearing nails , too little hair , skin rash",Dermatologist,69
urethral disorder,"retention of urine , suprapubic pain , sharp abdominal pain , vomiting , involuntary urination , side pain , abusing alcohol , painful urination",Urologist,45
lyme disease,"depressive or psychotic symptoms , hip pain , abnormal appearing skin , symptoms of the face , fever , fatigue , headache",Infectious Disease Specialist,73
iron deficiency anemia,"dizziness , blood in stool , intermenstrual bleeding , heartburn , weakness , heavy menstrual flow , regurgitation , regurgitation.1 , fatigue , weight gain , rectal bleeding",Hematologist,64
acute respiratory distress syndrome (ards),"shortness of breath , depressive or psychotic symptoms , sharp chest pain , difficulty breathing , cough , fever , chills , chest tightness , wheezing",Pulmonologist,90
toxic multinodular goiter,"abnormal involuntary movements , irregular heartbeat , fatigue , involuntary urination , double vision",Endocrinologist,70
open wound of the finger,"hand or finger pain , hand or finger stiffness or tightness , skin on arm or hand looks infected , hand or finger swelling",Orthopedic Surgeon,35
autonomic nervous system disorder,"dizziness , difficulty in swallowing , leg pain , headache , decreased appetite",Neurologist,54
psychosexual disorder,"involuntary urination , pain during intercourse , impotence , premature ejaculation , depression , fatigue , loss of sex drive",Psychiatrist,84
anemia,"shortness of breath , dizziness , vomiting blood , weakness , changes in stool appearance , melena , nosebleed , fatigue",Hematologist,68
tendinitis,"leg pain , hip pain , hand or finger pain , knee pain , ankle pain , hand or finger swelling , arm pain , foot or toe pain , wrist pain , shoulder pain",Orthopedic Surgeon,35
common cold,"cough , nasal congestion , wheezing , ear pain , chills , coryza , sore throat , vomiting , fever , flu-like syndrome , headache",Infectious Disease Specialist,18
amyotrophic lateral sclerosis (als),"abnormal involuntary movements , difficulty speaking , difficulty in swallowing , weakness , leg cramps or spasms",Neurologist,35
central retinal artery or vein occlusion,"irregular heartbeat , diminished vision , foreign body sensation in eye , blindness , pain in eye , symptoms of eye",Ophthalmologist,60
paroxysmal supraventricular tachycardia,"shortness of breath , chest tightness , involuntary urination , weakness , increased heart rate , sharp chest pain , dizziness , palpitations , irregular heartbeat",Cardiologist,69
venous insufficiency,"leg pain , abnormal appearing skin , skin lesion , leg cramps or spasms , lymphedema , skin on leg or foot looks infected , fluid retention , burning chest pain",Vascular specialist,41
trichomonas infection,"vomiting , vaginal itching , lower abdominal pain , unpredictable menstruation , sharp abdominal pain , nausea , pain during pregnancy , vaginal discharge",Infectious disease specialist,76
acne,"skin swelling , abnormal appearing skin , acne or pimples , skin growth , irregular appearing scalp , long menstrual periods , skin dryness, peeling, scaliness, or roughness , skin rash , skin moles",Dermatologist,69
depression,"depression , abusing alcohol , anxiety and nervousness , disturbance of memory , delusions or hallucinations , depressive or psychotic symptoms , excessive anger , temper problems , insomnia , hostile behavior , drug abuse",Psychiatrist,42
drug abuse,"anxiety and nervousness , depression , depressive or psychotic symptoms , abusing alcohol , drug abuse , smoking problems , sweating , antisocial behavior , hostile behavior , delusions or hallucinations",Psychiatrist,79
urinary tract obstruction,"retention of urine , suprapubic pain , sharp abdominal pain , blood in urine , back pain , symptoms of prostate , frequent urination , excessive urination at night , painful urination , side pain",Urologist,67
diabetes insipidus,"dizziness , emotional symptoms",Endocrinologist,54
iridocyclitis,"headache , diminished vision , symptoms of eye , pain in eye , foreign body sensation in eye , eye redness , eye burns or stings , cloudy eye , lacrimation",Ophthalmologist,60
varicocele of the testicles,"symptoms of the scrotum and testes , swelling of scrotum , pain in testicles , lower abdominal pain , skin growth , pain of the anus , involuntary urination , infertility , groin pain , mass in scrotum",Urologist,42
irritable bowel syndrome,"insomnia , flatulence , upper abdominal pain , diarrhea , lower abdominal pain , burning abdominal pain , anxiety and nervousness , nausea , sharp abdominal pain",Gastroenterologist,85
fracture of the foot,"foot or toe pain , foot or toe stiffness or tightness , foot or toe swelling , foot or toe weakness , ankle pain , ankle swelling",Orthopedic specialist,31
ovarian cyst,"sharp abdominal pain , nausea , vaginal discharge , intermenstrual bleeding , pelvic pain , burning abdominal pain , painful menstruation , lower abdominal pain , vomiting",Gynecologist,73
chlamydia,"sharp abdominal pain , lower abdominal pain , pelvic pain , vaginal pain , vaginal discharge , vaginal itching",Infectious disease specialist,34
parasitic disease,"cough , sharp abdominal pain , abnormal appearing skin , retention of urine , hand or finger swelling , skin rash",Infectious disease specialist,49
fracture of the jaw,"facial pain , jaw swelling , pain in eye , peripheral edema , mouth pain , bones are painful",Oral surgeon,74
lipoma,"groin mass , abnormal appearing skin , skin lesion , bones are painful , shoulder lump or mass , skin swelling , back mass or lump , arm lump or mass , neck mass , skin growth",Dermatologist,77
female genitalia infection,"skin swelling , vaginal discharge , skin lesion , vulvar irritation , groin pain , vulvar sore , vaginal pain",Gynecologist,38
pulmonary hypertension,"shortness of breath , palpitations , difficulty breathing , apnea , feeling ill , sharp chest pain , cough , fatigue , hemoptysis",Cardiologist,51
thyroid nodule,"hoarse voice , diminished hearing , difficulty in swallowing , neck mass , fatigue , throat feels tight , back weakness",Endocrinologist,30
broken tooth,"lip swelling , dry lips , bleeding gums , facial pain , toothache , difficulty eating , gum pain",Dentist,40
dumping syndrome,"vomiting , nausea , knee lump or mass",Gastroenterologist,61
lymphadenitis,"sore throat , cough , sharp abdominal pain , neck pain , neck swelling , fever , skin swelling , ear pain , neck mass",Infectious disease specialist,81
injury to the face,"diminished hearing , ear pain , neck stiffness or tightness , bleeding from ear , neck pain , nosebleed , facial pain , headache , mouth pain",Plastic surgeon,84
aortic valve disease,"shortness of breath , sharp chest pain , palpitations , irregular heartbeat , lymphedema , groin mass , fainting , peripheral edema , difficulty breathing",Cardiologist,37
rheumatoid arthritis,"hand or finger pain , wrist pain , ache all over , elbow swelling , wrist swelling , joint pain , joint swelling , hand or finger swelling , peripheral edema , knee pain",Rheumatologist,64
spermatocele,"retention of urine , pain in testicles , frequent urination , elbow weakness , mass in scrotum",Urologist,30
impetigo,"cough , nasal congestion , skin swelling , skin lesion , mouth ulcer , itching of skin , sore in nose , skin rash , fever , abnormal appearing skin",Dermatologist,44
anal fistula,"blood in stool , mass in scrotum , rectal bleeding , pain of the anus",General surgeon,32
hypothermia,"depressive or psychotic symptoms , emotional symptoms , fainting , weakness",Emergency medicine specialist,32
oppositional disorder,"hostile behavior , restlessness , excessive anger , low self-esteem , obsessions and compulsions , antisocial behavior , low urine output , fainting , temper problems , depressive or psychotic symptoms",Psychiatrist,30
migraine,"headache , nausea , diminished vision , spots or clouds in vision , blindness , symptoms of the face , disturbance of memory , dizziness , vomiting",Neurologist,33
diabetic peripheral neuropathy,"leg pain , skin lesion , foot or toe swelling , loss of sensation , lymphedema , foot or toe stiffness or tightness , foot or toe pain , paresthesia , problems with movement",Endocrinologist,58
testicular disorder,"hoarse voice , symptoms of the scrotum and testes , impotence , loss of sex drive , fatigue",Urologist,47
gestational diabetes,"vaginal redness , problems during pregnancy , pelvic pressure , pain during pregnancy , uterine contractions",Obstetrician-Gynecologist,62
hidradenitis suppurativa,"skin swelling , groin mass , arm pain , skin lesion , skin growth , skin rash",Dermatologist,36
valley fever,"hand or finger pain , fever , shortness of breath , shoulder swelling",Infectious disease specialist,71
conjunctivitis due to bacteria,"sore throat , nasal congestion , abnormal appearing skin , cough , eye redness , fever",Ophthalmologist,34
lewy body dementia,"depressive or psychotic symptoms , hostile behavior , delusions or hallucinations , disturbance of memory , abnormal involuntary movements",Neurologist,86
multiple myeloma,"lip swelling , problems with movement , weakness , fatigue , disturbance of memory",Hematologist,78
head injury,"fainting , lip swelling , facial pain , double vision , back pain , neck pain , headache , dizziness",Neurologist,84
ascending cholangitis,"shortness of breath , retention of urine , jaundice , sharp abdominal pain , fever",Gastroenterologist,88
idiopathic irregular menstrual cycle,"sharp abdominal pain , intermenstrual bleeding , pelvic pain , cramps and spasms , unpredictable menstruation , painful menstruation , infertility , frequent menstruation , long menstrual periods , lower abdominal pain , heavy menstrual flow",Gynecologist,72
interstitial lung disease,"sore throat , nasal congestion , wheezing , fever , abnormal breathing sounds , shortness of breath , cough , headache , sleepiness",Pulmonologist,88
mononeuritis,"hand or finger pain , arm pain , foot or toe pain , elbow pain , loss of sensation , shoulder pain , leg pain , wrist pain , hand or finger weakness , ankle pain",Neurologist,79
malaria,"fainting , headache , knee lump or mass , fever",Infectious disease specialist,75
somatization disorder,"anxiety and nervousness , dizziness , fainting , ache all over , depression",Psychiatrist,35
hypovolemia,"dizziness , sharp abdominal pain , feeling ill , vomiting , nausea , diarrhea , decreased appetite , fever , fainting",Emergency medicine specialist,40
schizophrenia,"anxiety and nervousness , insomnia , temper problems , fears and phobias , low self-esteem , hostile behavior , excessive anger , hysterical behavior , depression , depressive or psychotic symptoms , delusions or hallucinations",Psychiatrist,38
knee ligament or meniscus tear,"knee swelling , leg weakness , knee pain , knee weakness , knee lump or mass , knee stiffness or tightness , leg stiffness or tightness",Orthopedic specialist,59
endocarditis,"sharp chest pain , dizziness , palpitations , increased heart rate , shortness of breath , irregular heartbeat",Cardiologist,83
sepsis,"shortness of breath , sharp abdominal pain , decreased appetite , difficulty breathing , suprapubic pain , feeling ill , vomiting , cough , fever , chills , weakness",Infectious disease specialist,99
heat stroke,"dizziness , feeling hot",Emergency medicine specialist,96
cholecystitis,"sharp abdominal pain , vomiting , nausea , back pain , burning abdominal pain , side pain , lower body pain , upper abdominal pain , stomach bloating , symptoms of the kidneys , sharp chest pain , regurgitation.1",Gastroenterologist,68
cardiac arrest,"shortness of breath , sharp chest pain , palpitations , arm swelling , weakness , decreased heart rate , difficulty breathing , irregular heartbeat",Cardiologist,34
cardiomyopathy,"shortness of breath , chest tightness , peripheral edema , decreased heart rate , fatigue , irregular heartbeat , heartburn , sharp chest pain",Cardiologist,87
social phobia,"depressive or psychotic symptoms , insomnia , excessive anger , delusions or hallucinations , anxiety and nervousness , excessive appetite , fears and phobias , abusing alcohol , depression",Psychiatrist,69
meningitis,"vomiting , neck pain , neck stiffness or tightness , fever , ache all over , cough , headache , nausea",Neurologist,84
spherocytosis,"cough , elbow weakness , skin rash",Hematologist,35
hormone disorder,"lack of growth , headache , hot flashes , acne or pimples , excessive growth",Endocrinologist,45
raynaud disease,"hand or finger pain , hand or finger swelling , loss of sensation",Rheumatologist,49
reactive arthritis,"hip pain , knee lump or mass",Rheumatologist,41
scabies,"abnormal appearing skin , foot or toe swelling , problems during pregnancy , itching of skin , unpredictable menstruation , skin rash , skin swelling",Dermatologist,47
ear wax impaction,"cough , nasal congestion , diminished hearing , fluid in ear , fever , pulling at ears , ringing in ear , plugged feeling in ear , sinus congestion , ear pain",Otolaryngologist,72
hypertension of pregnancy,"headache , pain during pregnancy , heartburn , problems during pregnancy , spotting or bleeding during pregnancy , uterine contractions",Obstetrician-Gynecologist,46
peripheral arterial embolism,"leg pain , abnormal appearing skin , knee swelling , loss of sensation , paresthesia , leg swelling",Vascular surgeon,73
rosacea,"skin swelling , abnormal appearing skin , skin lesion , symptoms of eye , lymphedema , skin dryness, peeling, scaliness, or roughness , acne or pimples , skin growth , itching of skin , skin moles",Dermatologist,67
fracture of the skull,"depressive or psychotic symptoms , diminished hearing , vomiting , headache , drug abuse",Neurosurgeon,73
uveitis,"elbow weakness , diminished vision , symptoms of eye",Ophthalmologist,62
fracture of the facial bones,"lip swelling , double vision , pain in eye , peripheral edema , redness in or around nose , abusing alcohol , facial pain , headache , swollen eye",Plastic surgeon,74
tracheitis,"shortness of breath , hoarse voice , cough , nasal congestion , fever , sneezing , sore throat",Pulmonologist,56
jaw disorder,"difficulty in swallowing , headache , toothache , peripheral edema , jaw swelling , mouth pain , facial pain , neck mass",Oral surgeon,89
perirectal infection,"skin swelling , swelling of scrotum , abnormal appearing skin , skin lesion , pain of the anus , pain in testicles",Infectious disease specialist,47
breast cyst,"vaginal dryness , pain or soreness of breast , skin growth , lump or mass of breast",General surgeon,89
post-traumatic stress disorder (ptsd),"anxiety and nervousness , depression , depressive or psychotic symptoms , insomnia , hostile behavior , drug abuse , abusing alcohol , temper problems , excessive anger , delusions or hallucinations",Psychiatrist,68
kidney cancer,"involuntary urination , blood in urine , kidney mass , retention of urine , groin mass",Oncologist,37
vulvar cancer,"insomnia , back pain , emotional symptoms",Gynecologist,59
blepharitis,"diminished vision , pain in eye , spots or clouds in vision , eye redness , lacrimation , swollen eye , eyelid swelling , white discharge from eye , itchiness of eye , eye burns or stings , symptoms of eye",Ophthalmologist,54
celiac disease,"sharp abdominal pain , vomiting , nausea , peripheral edema , sharp chest pain , regurgitation.1",Gastroenterologist,59
cystitis,"retention of urine , sharp abdominal pain , painful urination , pelvic pain , side pain , lower abdominal pain , blood in urine , back pain , suprapubic pain , frequent urination , symptoms of bladder , involuntary urination",Urologist,57
sickle cell anemia,"dry lips , back pain , fever , temper problems , pulling at ears , leg pain , joint pain , ache all over",Hematologist,68
subconjunctival hemorrhage,"headache , facial pain , diminished vision , pain in eye , foreign body sensation in eye , eye redness , bleeding from eye , symptoms of eye",Ophthalmologist,59
hemorrhoids,"blood in stool , pain of the anus , heartburn , rectal bleeding , constipation , mass or swelling around the anus , itching of the anus , lower body pain , changes in stool appearance , sharp abdominal pain , melena",Proctologist,70
contact dermatitis,"skin swelling , skin lesion , acne or pimples , skin moles , skin dryness, peeling, scaliness, or roughness , skin irritation , allergic reaction , itching of skin , abnormal appearing skin , swollen eye , skin rash",Dermatologist,35
sinus bradycardia,"shortness of breath , dizziness , chest tightness , palpitations , weakness , decreased heart rate , fainting , feeling ill , increased heart rate , sharp chest pain , irregular heartbeat",Cardiologist,55
high blood pressure,"sharp chest pain , headache",Cardiologist,44
pelvic inflammatory disease,"vomiting , pelvic pain , burning abdominal pain , suprapubic pain , nausea , painful urination , lower abdominal pain , vaginal discharge , intermenstrual bleeding , back pain , sharp abdominal pain",Obstetrician-Gynecologist,76
liver disease,"sharp abdominal pain , diarrhea , peripheral edema , heartburn , weakness , upper abdominal pain , nausea , unusual color or odor to urine , shortness of breath , blood in stool , jaundice , side pain",Hepatologist,73
chronic constipation,"retention of urine , blood in stool , sharp abdominal pain , vomiting , nausea , pain of the anus , constipation , rectal bleeding , lower abdominal pain , burning abdominal pain , changes in stool appearance",Gastroenterologist,43
thyroid cancer,"swollen lymph nodes , neck mass , difficulty in swallowing , fatigue",Endocrinologist,83
flu,"sore throat , cough , diarrhea , ache all over , chills , vomiting , headache , nausea , fever , coryza",Infectious disease specialist,61
friedrich ataxia,"cough , knee lump or mass , ear pain",Neurologist,88
tic (movement) disorder,"depressive or psychotic symptoms , abnormal involuntary movements , abnormal movement of eyelid , problems with movement , headache , symptoms of eye",Psychiatrist,80
skin polyp,"skin swelling , irregular appearing scalp , skin moles , skin irritation , abnormal appearing skin , skin lesion , acne or pimples , skin growth , skin dryness, peeling, scaliness, or roughness , warts , itching of skin",Dermatologist,69
brachial neuritis,"headache , arm pain , back pain , low back pain , elbow pain , paresthesia , shoulder pain , hand or finger pain , loss of sensation , hand or finger weakness , neck pain",Neurologist,39
cervical cancer,"jaundice , vaginal itching , pelvic pain , heavy menstrual flow , vulvar irritation , vaginal discharge",Oncologist,70
adrenal adenoma,"anxiety and nervousness , shortness of breath , back weakness , sharp abdominal pain",Endocrinologist,78
esophagitis,"shortness of breath , sharp chest pain , chest tightness , cough , difficulty in swallowing , sharp abdominal pain , vomiting , sore throat , burning abdominal pain , heartburn , upper abdominal pain , nausea",Gastroenterologist,51
gas gangrene,"sharp abdominal pain , wrist pain",General surgeon,33
yeast infection,"suprapubic pain , frequent urination , vaginal discharge , vaginal pain , sharp abdominal pain , diaper rash , vaginal itching , skin rash , pelvic pain",Gynecologist,34
spina bifida,"skin lesion , eye moves abnormally , back pain , disturbance of memory , headache , involuntary urination",Neurologist,76
drug poisoning due to medication,"depression , depressive or psychotic symptoms , abusing alcohol , drug abuse , lip swelling , slurring words , sleepiness",Toxicologist,94
alcoholic liver disease,"abnormal involuntary movements , peripheral edema , weight gain , stomach bloating , sharp abdominal pain , diarrhea , abusing alcohol",Gastroenterologist,85
malignant hypertension,"sharp chest pain , insomnia , headache , depressive or psychotic symptoms , lower body pain , shortness of breath , vomiting",Cardiologist,51
diverticulitis,"blood in stool , sharp abdominal pain , vomiting , diarrhea , lower abdominal pain , burning abdominal pain , side pain , fever , nausea , constipation , upper abdominal pain , chills",Gastroenterologist,85
moyamoya disease,"depressive or psychotic symptoms , elbow weakness",Neurologist,59
heat exhaustion,"shortness of breath , dizziness , vomiting , headache , weakness , sharp chest pain , fluid retention , fainting",Emergency medicine specialist,42
psychotic disorder,"depression , depressive or psychotic symptoms , insomnia , abusing alcohol , excessive anger , temper problems , fears and phobias , hysterical behavior , anxiety and nervousness , hostile behavior , delusions or hallucinations",Psychiatrist,39
frostbite,"sharp chest pain , elbow weakness , foot or toe pain",Emergency medicine specialist,36
atrophy of the corpus cavernosum,"frequent urination , skin growth , bumps on penis , abnormal appearing skin , impotence",Urologist,37
smoking or tobacco addiction,"shortness of breath , abusing alcohol , coughing up sputum , drug abuse , smoking problems , hemoptysis , hurts to breath , sharp chest pain , cough , headache , excessive anger",Psychiatrist,72
sprain or strain,"leg pain , headache , hand or finger pain , arm pain , back pain , neck pain , low back pain , knee pain , wrist pain , foot or toe pain , ankle pain , shoulder pain",Orthopedic specialist,59
essential tremor,"dizziness , abnormal involuntary movements , hoarse voice , problems with movement , disturbance of memory , muscle pain , loss of sensation",Neurologist,81
open wound of the ear,"dry lips , facial pain , ear pain , fluid in ear , bleeding from ear",ENT specialist,77
foreign body in the nose,"nasal congestion , regurgitation.1",Otolaryngologist,71
idiopathic painful menstruation,"lower abdominal pain , vaginal discharge , cramps and spasms , blood clots during menstrual periods , long menstrual periods , heavy menstrual flow , unpredictable menstruation , pelvic pain , sharp abdominal pain , vaginal itching , painful menstruation",Gynecologist,73
down syndrome,"difficulty speaking , nasal congestion , lack of growth , seizures , cough , decreased appetite",Pediatrician,49
idiopathic infrequent menstruation,"retention of urine , sharp abdominal pain , nausea , unpredictable menstruation",Gynecologist,82
pneumothorax,"shortness of breath , drug abuse , shoulder pain , sharp chest pain , cough , side pain , back pain , hurts to breath",Pulmonologist,76
de quervain disease,"abnormal involuntary movements , wrist pain , hand or finger swelling , wrist swelling , hand or finger pain , arm pain , shoulder pain",Orthopedic specialist,75
fracture of the vertebra,"hip pain , hand or finger stiffness or tightness , back pain , neck pain , leg stiffness or tightness , pelvic pain , bones are painful , low back pain",Orthopedic specialist,41
human immunodeficiency virus infection (hiv),"drug abuse , fears and phobias , nightmares",Infectious disease specialist,40
mumps,"sore throat , swollen lymph nodes , ear pain , shoulder swelling",Pediatrician,82
subarachnoid hemorrhage,"dizziness , fainting , vomiting , headache , symptoms of eye , loss of sensation",Neurologist,45
acute fatty liver of pregnancy (aflp),"emotional symptoms , sharp abdominal pain",Obstetrician-Gynecologist,70
ectropion,"white discharge from eye , symptoms of eye , pain in eye , eye redness , lacrimation",Ophthalmologist,57
scar,"skin swelling , lip swelling , skin lesion , skin growth , skin moles , itching of skin , abnormal appearing skin",Dermatologist,37
lactose intolerance,"shortness of breath , nasal congestion , flatulence , diarrhea , impotence , burning abdominal pain",Gastroenterologist,36
eustachian tube dysfunction (ear disorder),"dizziness , sore throat , ear pain , allergic reaction , redness in ear , swollen or red tonsils , ringing in ear , abnormal breathing sounds , nasal congestion , diminished hearing , plugged feeling in ear",ENT specialist,87
