ll ,Symptoms,Specialist
insect bite,"skin swelling , hand or finger swelling , lip swelling , leg swelling , fluid retention , itching of skin , skin lesion , abnormal appearing skin , peripheral edema , skin rash",General Practitioner
paroxysmal ventricular tachycardia,"shortness of breath , dizziness , chest tightness , irregular heartbeat , weight gain , increased heart rate , fatigue , sharp chest pain , fainting , decreased heart rate",General Practitioner
congenital heart defect,"sharp chest pain , lack of growth , arm swelling , hand or finger stiffness or tightness",General Practitioner
connective tissue disorder,"difficulty in swallowing , feeling ill , joint pain",Psychiatrist
foreign body in the eye,"symptoms of eye , eye burns or stings , white discharge from eye , eye redness , lacrimation , itchiness of eye , foreign body sensation in eye , pain in eye",General Practitioner
poisoning due to gas,"shortness of breath , sharp chest pain , dizziness , wheezing , headache , drainage in throat , cough",General Practitioner
pyogenic skin infection,"skin swelling , hand or finger swelling , abnormal appearing skin , skin lesion , foot or toe pain , leg swelling , leg pain , foot or toe swelling , hand or finger pain , skin rash , peripheral edema",Infectious Disease Specialist
endometrial hyperplasia,"back weakness , involuntary urination , heavy menstrual flow , vaginal bleeding after menopause , unpredictable menstruation",General Practitioner
acanthosis nigricans,"skin lesion , acne or pimples , weight gain , skin growth",General Practitioner
central atherosclerosis,"shortness of breath , blood in urine , fatigue , irregular heartbeat",General Practitioner
viral exanthem,"cough , nasal congestion , skin swelling , vomiting , abnormal appearing skin , itching of skin , skin rash , decreased appetite , fever , pulling at ears",General Practitioner
noninfectious gastroenteritis,"sharp abdominal pain , headache , decreased appetite , chills , rectal bleeding , blood in stool , burning abdominal pain , fever , fluid retention , nausea , vomiting , diarrhea",General Practitioner
benign prostatic hyperplasia (bph),"retention of urine , swelling of scrotum , impotence , excessive urination at night , hesitancy , low urine output , pain in testicles , involuntary urination , blood in urine , symptoms of bladder , symptoms of prostate , frequent urination",General Practitioner
menopause,"vaginal itching , involuntary urination , hot flashes , sweating , absence of menstruation , unpredictable menstruation",General Practitioner
primary immunodeficiency,"cough , arm stiffness or tightness , frontal headache , decreased appetite , fatigue",General Practitioner
ovarian cancer,"groin mass , stomach bloating , sharp abdominal pain , decreased appetite",Oncologist
cataract,"diminished vision , double vision , symptoms of eye , pain in eye , abnormal movement of eyelid , lacrimation , blindness , cloudy eye , itchiness of eye , spots or clouds in vision",General Practitioner
dislocation of the hip,"hip pain , abusing alcohol , leg pain",General Practitioner
spinal stenosis,"arm pain , neck pain , paresthesia , shoulder pain , lower body pain , leg pain , hip pain , headache , problems with movement , loss of sensation , back pain , low back pain",Gastroenterologist
intestinal obstruction,"sharp abdominal pain , vomiting , stomach bloating , retention of urine , vaginal itching , burning abdominal pain , pain of the anus , nausea , constipation",General Practitioner
heart contusion,"depression , elbow weakness",General Practitioner
congenital malformation syndrome,"diminished hearing , lack of growth , seizures , gum pain",Geneticist
sporotrichosis,"wrist pain , knee pain",General Practitioner
lymphangitis,"arm pain , neck swelling",General Practitioner
wernicke korsakoff syndrome,"anxiety and nervousness , depressive or psychotic symptoms , abusing alcohol",Geneticist
intestinal disease,"fainting , sharp abdominal pain , nausea , vomiting , diarrhea , burning abdominal pain , sharp chest pain , regurgitation , regurgitation.1",General Practitioner
acute bronchitis,"shortness of breath , sharp chest pain , sore throat , nasal congestion , headache , wheezing , fever , coughing up sputum , congestion in chest , cough , difficulty breathing , coryza",General Practitioner
persistent vomiting of unknown cause,"dizziness , abnormal involuntary movements , vomiting , fever , diarrhea , sharp abdominal pain , nausea",General Practitioner
open wound of the foot,"foot or toe pain , foot or toe swelling , irregular appearing nails , foot or toe lump or mass , skin lesion , skin on leg or foot looks infected",General Practitioner
myocarditis,"sharp chest pain , dizziness , palpitations",General Practitioner
preeclampsia,"sharp abdominal pain , headache , lower abdominal pain , vaginal redness , uterine contractions , spots or clouds in vision , problems during pregnancy , recent pregnancy , pain during pregnancy",General Practitioner
ischemic heart disease,"shortness of breath , dizziness , chest tightness , palpitations , throat feels tight , peripheral edema , muscle pain , difficulty breathing , fatigue , sharp chest pain , lymphedema",General Practitioner
neurofibromatosis,"abnormal involuntary movements , groin mass , abnormal appearing skin , headache",General Practitioner
chickenpox,"cough , pain in testicles , abnormal appearing skin , fever , itching of skin , skin rash",General Practitioner
pancreatic cancer,"jaundice , nausea , ache all over , stomach bloating , diarrhea , sharp abdominal pain , arm swelling",Oncologist
neuropathy due to drugs,"cough , vomiting , foot or toe pain , problems with movement , loss of sensation",General Practitioner
croup,"hoarse voice , nasal congestion , coryza , abnormal breathing sounds , shortness of breath , wheezing , fever , sore throat , vomiting , cough , pulling at ears",General Practitioner
idiopathic excessive menstruation,"sharp abdominal pain , cramps and spasms , blood clots during menstrual periods , long menstrual periods , unpredictable menstruation , painful menstruation , frequent menstruation , vaginal discharge , intermenstrual bleeding , heavy menstrual flow , involuntary urination",General Practitioner
amblyopia,"pus draining from ear , eye deviation , diminished vision , cross-eyed , pain in eye",General Practitioner
meckel diverticulum,"lower abdominal pain , knee lump or mass",General Practitioner
dislocation of the wrist,"depression , elbow weakness , hand or finger pain , arm pain",General Practitioner
ear drum damage,"cough , diminished hearing , pus draining from ear , ear pain , pulling at ears , redness in ear , bleeding from ear , ringing in ear , fluid in ear , nasal congestion , plugged feeling in ear",General Practitioner
erectile dysfunction,"retention of urine , pain in testicles , involuntary urination , pain during intercourse , frequent urination , excessive urination at night , loss of sex drive , blood in urine , impotence , symptoms of prostate",General Practitioner
temporary or benign blood in urine,"suprapubic pain , painful urination , involuntary urination , frequent urination , lower abdominal pain , regurgitation , regurgitation.1 , retention of urine , sharp abdominal pain , back pain , blood in urine , symptoms of bladder",General Practitioner
kidney disease due to longstanding hypertension,"difficulty speaking , feeling cold , symptoms of the kidneys , shortness of breath",General Practitioner
chondromalacia of the patella,"bones are painful , knee weakness , leg pain , knee swelling , problems with movement , knee pain",General Practitioner
onychomycosis,"skin swelling , abnormal appearing skin , foot or toe pain , skin on leg or foot looks infected , skin dryness, peeling, scaliness, or roughness , skin growth , irregular appearing nails , too little hair , skin rash",General Practitioner
urethral disorder,"retention of urine , suprapubic pain , sharp abdominal pain , vomiting , involuntary urination , side pain , abusing alcohol , painful urination",Psychiatrist
lyme disease,"depressive or psychotic symptoms , hip pain , abnormal appearing skin , symptoms of the face , fever , fatigue , headache",General Practitioner
iron deficiency anemia,"dizziness , blood in stool , intermenstrual bleeding , heartburn , weakness , heavy menstrual flow , regurgitation , regurgitation.1 , fatigue , weight gain , rectal bleeding",General Practitioner
acute respiratory distress syndrome (ards),"shortness of breath , depressive or psychotic symptoms , sharp chest pain , difficulty breathing , cough , fever , chills , chest tightness , wheezing",Geneticist
toxic multinodular goiter,"abnormal involuntary movements , irregular heartbeat , fatigue , involuntary urination , double vision",General Practitioner
open wound of the finger,"hand or finger pain , hand or finger stiffness or tightness , skin on arm or hand looks infected , hand or finger swelling",General Practitioner
autonomic nervous system disorder,"dizziness , difficulty in swallowing , leg pain , headache , decreased appetite",Psychiatrist
psychosexual disorder,"involuntary urination , pain during intercourse , impotence , premature ejaculation , depression , fatigue , loss of sex drive",Psychiatrist
anemia,"shortness of breath , dizziness , vomiting blood , weakness , changes in stool appearance , melena , nosebleed , fatigue",General Practitioner
tendinitis,"leg pain , hip pain , hand or finger pain , knee pain , ankle pain , hand or finger swelling , arm pain , foot or toe pain , wrist pain , shoulder pain",General Practitioner
common cold,"cough , nasal congestion , wheezing , ear pain , chills , coryza , sore throat , vomiting , fever , flu-like syndrome , headache",General Practitioner
amyotrophic lateral sclerosis (als),"abnormal involuntary movements , difficulty speaking , difficulty in swallowing , weakness , leg cramps or spasms",General Practitioner
central retinal artery or vein occlusion,"irregular heartbeat , diminished vision , foreign body sensation in eye , blindness , pain in eye , symptoms of eye",General Practitioner
paroxysmal supraventricular tachycardia,"shortness of breath , chest tightness , involuntary urination , weakness , increased heart rate , sharp chest pain , dizziness , palpitations , irregular heartbeat",General Practitioner
venous insufficiency,"leg pain , abnormal appearing skin , skin lesion , leg cramps or spasms , lymphedema , skin on leg or foot looks infected , fluid retention , burning chest pain",General Practitioner
trichomonas infection,"vomiting , vaginal itching , lower abdominal pain , unpredictable menstruation , sharp abdominal pain , nausea , pain during pregnancy , vaginal discharge",Infectious Disease Specialist
acne,"skin swelling , abnormal appearing skin , acne or pimples , skin growth , irregular appearing scalp , long menstrual periods , skin dryness, peeling, scaliness, or roughness , skin rash , skin moles",General Practitioner
depression,"depression , abusing alcohol , anxiety and nervousness , disturbance of memory , delusions or hallucinations , depressive or psychotic symptoms , excessive anger , temper problems , insomnia , hostile behavior , drug abuse",General Practitioner
drug abuse,"anxiety and nervousness , depression , depressive or psychotic symptoms , abusing alcohol , drug abuse , smoking problems , sweating , antisocial behavior , hostile behavior , delusions or hallucinations",General Practitioner
urinary tract obstruction,"retention of urine , suprapubic pain , sharp abdominal pain , blood in urine , back pain , symptoms of prostate , frequent urination , excessive urination at night , painful urination , side pain",General Practitioner
diabetes insipidus,"dizziness , emotional symptoms",General Practitioner
iridocyclitis,"headache , diminished vision , symptoms of eye , pain in eye , foreign body sensation in eye , eye redness , eye burns or stings , cloudy eye , lacrimation",General Practitioner
varicocele of the testicles,"symptoms of the scrotum and testes , swelling of scrotum , pain in testicles , lower abdominal pain , skin growth , pain of the anus , involuntary urination , infertility , groin pain , mass in scrotum",General Practitioner
irritable bowel syndrome,"insomnia , flatulence , upper abdominal pain , diarrhea , lower abdominal pain , burning abdominal pain , anxiety and nervousness , nausea , sharp abdominal pain",Geneticist
fracture of the foot,"foot or toe pain , foot or toe stiffness or tightness , foot or toe swelling , foot or toe weakness , ankle pain , ankle swelling",Orthopedic Surgeon
ovarian cyst,"sharp abdominal pain , nausea , vaginal discharge , intermenstrual bleeding , pelvic pain , burning abdominal pain , painful menstruation , lower abdominal pain , vomiting",General Practitioner
chlamydia,"sharp abdominal pain , lower abdominal pain , pelvic pain , vaginal pain , vaginal discharge , vaginal itching",General Practitioner
parasitic disease,"cough , sharp abdominal pain , abnormal appearing skin , retention of urine , hand or finger swelling , skin rash",General Practitioner
fracture of the jaw,"facial pain , jaw swelling , pain in eye , peripheral edema , mouth pain , bones are painful",Orthopedic Surgeon
lipoma,"groin mass , abnormal appearing skin , skin lesion , bones are painful , shoulder lump or mass , skin swelling , back mass or lump , arm lump or mass , neck mass , skin growth",General Practitioner
female genitalia infection,"skin swelling , vaginal discharge , skin lesion , vulvar irritation , groin pain , vulvar sore , vaginal pain",Infectious Disease Specialist
pulmonary hypertension,"shortness of breath , palpitations , difficulty breathing , apnea , feeling ill , sharp chest pain , cough , fatigue , hemoptysis",General Practitioner
thyroid nodule,"hoarse voice , diminished hearing , difficulty in swallowing , neck mass , fatigue , throat feels tight , back weakness",Endocrinologist
broken tooth,"lip swelling , dry lips , bleeding gums , facial pain , toothache , difficulty eating , gum pain",General Practitioner
dumping syndrome,"vomiting , nausea , knee lump or mass",Geneticist
lymphadenitis,"sore throat , cough , sharp abdominal pain , neck pain , neck swelling , fever , skin swelling , ear pain , neck mass",General Practitioner
injury to the face,"diminished hearing , ear pain , neck stiffness or tightness , bleeding from ear , neck pain , nosebleed , facial pain , headache , mouth pain",Traumatologist
aortic valve disease,"shortness of breath , sharp chest pain , palpitations , irregular heartbeat , lymphedema , groin mass , fainting , peripheral edema , difficulty breathing",General Practitioner
rheumatoid arthritis,"hand or finger pain , wrist pain , ache all over , elbow swelling , wrist swelling , joint pain , joint swelling , hand or finger swelling , peripheral edema , knee pain",General Practitioner
spermatocele,"retention of urine , pain in testicles , frequent urination , elbow weakness , mass in scrotum",General Practitioner
impetigo,"cough , nasal congestion , skin swelling , skin lesion , mouth ulcer , itching of skin , sore in nose , skin rash , fever , abnormal appearing skin",General Practitioner
anal fistula,"blood in stool , mass in scrotum , rectal bleeding , pain of the anus",General Practitioner
hypothermia,"depressive or psychotic symptoms , emotional symptoms , fainting , weakness",General Practitioner
oppositional disorder,"hostile behavior , restlessness , excessive anger , low self-esteem , obsessions and compulsions , antisocial behavior , low urine output , fainting , temper problems , depressive or psychotic symptoms",Psychiatrist
migraine,"headache , nausea , diminished vision , spots or clouds in vision , blindness , symptoms of the face , disturbance of memory , dizziness , vomiting",General Practitioner
diabetic peripheral neuropathy,"leg pain , skin lesion , foot or toe swelling , loss of sensation , lymphedema , foot or toe stiffness or tightness , foot or toe pain , paresthesia , problems with movement",Endocrinologist
testicular disorder,"hoarse voice , symptoms of the scrotum and testes , impotence , loss of sex drive , fatigue",Psychiatrist
gestational diabetes,"vaginal redness , problems during pregnancy , pelvic pressure , pain during pregnancy , uterine contractions",General Practitioner
hidradenitis suppurativa,"skin swelling , groin mass , arm pain , skin lesion , skin growth , skin rash",General Practitioner
valley fever,"hand or finger pain , fever , shortness of breath , shoulder swelling",General Practitioner
conjunctivitis due to bacteria,"sore throat , nasal congestion , abnormal appearing skin , cough , eye redness , fever",General Practitioner
lewy body dementia,"depressive or psychotic symptoms , hostile behavior , delusions or hallucinations , disturbance of memory , abnormal involuntary movements",General Practitioner
multiple myeloma,"lip swelling , problems with movement , weakness , fatigue , disturbance of memory",General Practitioner
head injury,"fainting , lip swelling , facial pain , double vision , back pain , neck pain , headache , dizziness",Traumatologist
ascending cholangitis,"shortness of breath , retention of urine , jaundice , sharp abdominal pain , fever",General Practitioner
idiopathic irregular menstrual cycle,"sharp abdominal pain , intermenstrual bleeding , pelvic pain , cramps and spasms , unpredictable menstruation , painful menstruation , infertility , frequent menstruation , long menstrual periods , lower abdominal pain , heavy menstrual flow",General Practitioner
interstitial lung disease,"sore throat , nasal congestion , wheezing , fever , abnormal breathing sounds , shortness of breath , cough , headache , sleepiness",General Practitioner
mononeuritis,"hand or finger pain , arm pain , foot or toe pain , elbow pain , loss of sensation , shoulder pain , leg pain , wrist pain , hand or finger weakness , ankle pain",General Practitioner
malaria,"fainting , headache , knee lump or mass , fever",General Practitioner
somatization disorder,"anxiety and nervousness , dizziness , fainting , ache all over , depression",Psychiatrist
hypovolemia,"dizziness , sharp abdominal pain , feeling ill , vomiting , nausea , diarrhea , decreased appetite , fever , fainting",General Practitioner
schizophrenia,"anxiety and nervousness , insomnia , temper problems , fears and phobias , low self-esteem , hostile behavior , excessive anger , hysterical behavior , depression , depressive or psychotic symptoms , delusions or hallucinations",General Practitioner
knee ligament or meniscus tear,"knee swelling , leg weakness , knee pain , knee weakness , knee lump or mass , knee stiffness or tightness , leg stiffness or tightness",General Practitioner
endocarditis,"sharp chest pain , dizziness , palpitations , increased heart rate , shortness of breath , irregular heartbeat",General Practitioner
sepsis,"shortness of breath , sharp abdominal pain , decreased appetite , difficulty breathing , suprapubic pain , feeling ill , vomiting , cough , fever , chills , weakness",General Practitioner
heat stroke,"dizziness , feeling hot",General Practitioner
cholecystitis,"sharp abdominal pain , vomiting , nausea , back pain , burning abdominal pain , side pain , lower body pain , upper abdominal pain , stomach bloating , symptoms of the kidneys , sharp chest pain , regurgitation.1",General Practitioner
cardiac arrest,"shortness of breath , sharp chest pain , palpitations , arm swelling , weakness , decreased heart rate , difficulty breathing , irregular heartbeat",General Practitioner
cardiomyopathy,"shortness of breath , chest tightness , peripheral edema , decreased heart rate , fatigue , irregular heartbeat , heartburn , sharp chest pain",General Practitioner
social phobia,"depressive or psychotic symptoms , insomnia , excessive anger , delusions or hallucinations , anxiety and nervousness , excessive appetite , fears and phobias , abusing alcohol , depression",General Practitioner
meningitis,"vomiting , neck pain , neck stiffness or tightness , fever , ache all over , cough , headache , nausea",General Practitioner
spherocytosis,"cough , elbow weakness , skin rash",General Practitioner
hormone disorder,"lack of growth , headache , hot flashes , acne or pimples , excessive growth",Psychiatrist
raynaud disease,"hand or finger pain , hand or finger swelling , loss of sensation",General Practitioner
reactive arthritis,"hip pain , knee lump or mass",General Practitioner
scabies,"abnormal appearing skin , foot or toe swelling , problems during pregnancy , itching of skin , unpredictable menstruation , skin rash , skin swelling",General Practitioner
ear wax impaction,"cough , nasal congestion , diminished hearing , fluid in ear , fever , pulling at ears , ringing in ear , plugged feeling in ear , sinus congestion , ear pain",General Practitioner
hypertension of pregnancy,"headache , pain during pregnancy , heartburn , problems during pregnancy , spotting or bleeding during pregnancy , uterine contractions",Obstetrician
peripheral arterial embolism,"leg pain , abnormal appearing skin , knee swelling , loss of sensation , paresthesia , leg swelling",General Practitioner
rosacea,"skin swelling , abnormal appearing skin , skin lesion , symptoms of eye , lymphedema , skin dryness, peeling, scaliness, or roughness , acne or pimples , skin growth , itching of skin , skin moles",General Practitioner
fracture of the skull,"depressive or psychotic symptoms , diminished hearing , vomiting , headache , drug abuse",Orthopedic Surgeon
uveitis,"elbow weakness , diminished vision , symptoms of eye",General Practitioner
fracture of the facial bones,"lip swelling , double vision , pain in eye , peripheral edema , redness in or around nose , abusing alcohol , facial pain , headache , swollen eye",Orthopedic Surgeon
tracheitis,"shortness of breath , hoarse voice , cough , nasal congestion , fever , sneezing , sore throat",General Practitioner
jaw disorder,"difficulty in swallowing , headache , toothache , peripheral edema , jaw swelling , mouth pain , facial pain , neck mass",Psychiatrist
perirectal infection,"skin swelling , swelling of scrotum , abnormal appearing skin , skin lesion , pain of the anus , pain in testicles",Infectious Disease Specialist
breast cyst,"vaginal dryness , pain or soreness of breast , skin growth , lump or mass of breast",General Practitioner
post-traumatic stress disorder (ptsd),"anxiety and nervousness , depression , depressive or psychotic symptoms , insomnia , hostile behavior , drug abuse , abusing alcohol , temper problems , excessive anger , delusions or hallucinations",Psychiatrist
kidney cancer,"involuntary urination , blood in urine , kidney mass , retention of urine , groin mass",Oncologist
vulvar cancer,"insomnia , back pain , emotional symptoms",Oncologist
blepharitis,"diminished vision , pain in eye , spots or clouds in vision , eye redness , lacrimation , swollen eye , eyelid swelling , white discharge from eye , itchiness of eye , eye burns or stings , symptoms of eye",General Practitioner
celiac disease,"sharp abdominal pain , vomiting , nausea , peripheral edema , sharp chest pain , regurgitation.1",General Practitioner
cystitis,"retention of urine , sharp abdominal pain , painful urination , pelvic pain , side pain , lower abdominal pain , blood in urine , back pain , suprapubic pain , frequent urination , symptoms of bladder , involuntary urination",General Practitioner
sickle cell anemia,"dry lips , back pain , fever , temper problems , pulling at ears , leg pain , joint pain , ache all over",General Practitioner
subconjunctival hemorrhage,"headache , facial pain , diminished vision , pain in eye , foreign body sensation in eye , eye redness , bleeding from eye , symptoms of eye",General Practitioner
hemorrhoids,"blood in stool , pain of the anus , heartburn , rectal bleeding , constipation , mass or swelling around the anus , itching of the anus , lower body pain , changes in stool appearance , sharp abdominal pain , melena",General Practitioner
contact dermatitis,"skin swelling , skin lesion , acne or pimples , skin moles , skin dryness, peeling, scaliness, or roughness , skin irritation , allergic reaction , itching of skin , abnormal appearing skin , swollen eye , skin rash",General Practitioner
sinus bradycardia,"shortness of breath , dizziness , chest tightness , palpitations , weakness , decreased heart rate , fainting , feeling ill , increased heart rate , sharp chest pain , irregular heartbeat",General Practitioner
high blood pressure,"sharp chest pain , headache",General Practitioner
pelvic inflammatory disease,"vomiting , pelvic pain , burning abdominal pain , suprapubic pain , nausea , painful urination , lower abdominal pain , vaginal discharge , intermenstrual bleeding , back pain , sharp abdominal pain",General Practitioner
liver disease,"sharp abdominal pain , diarrhea , peripheral edema , heartburn , weakness , upper abdominal pain , nausea , unusual color or odor to urine , shortness of breath , blood in stool , jaundice , side pain",General Practitioner
chronic constipation,"retention of urine , blood in stool , sharp abdominal pain , vomiting , nausea , pain of the anus , constipation , rectal bleeding , lower abdominal pain , burning abdominal pain , changes in stool appearance",General Practitioner
thyroid cancer,"swollen lymph nodes , neck mass , difficulty in swallowing , fatigue",Oncologist
flu,"sore throat , cough , diarrhea , ache all over , chills , vomiting , headache , nausea , fever , coryza",General Practitioner
friedrich ataxia,"cough , knee lump or mass , ear pain",General Practitioner
tic (movement) disorder,"depressive or psychotic symptoms , abnormal involuntary movements , abnormal movement of eyelid , problems with movement , headache , symptoms of eye",Psychiatrist
skin polyp,"skin swelling , irregular appearing scalp , skin moles , skin irritation , abnormal appearing skin , skin lesion , acne or pimples , skin growth , skin dryness, peeling, scaliness, or roughness , warts , itching of skin",ENT Specialist
brachial neuritis,"headache , arm pain , back pain , low back pain , elbow pain , paresthesia , shoulder pain , hand or finger pain , loss of sensation , hand or finger weakness , neck pain",General Practitioner
cervical cancer,"jaundice , vaginal itching , pelvic pain , heavy menstrual flow , vulvar irritation , vaginal discharge",Oncologist
adrenal adenoma,"anxiety and nervousness , shortness of breath , back weakness , sharp abdominal pain",General Practitioner
esophagitis,"shortness of breath , sharp chest pain , chest tightness , cough , difficulty in swallowing , sharp abdominal pain , vomiting , sore throat , burning abdominal pain , heartburn , upper abdominal pain , nausea",General Practitioner
gas gangrene,"sharp abdominal pain , wrist pain",General Practitioner
yeast infection,"suprapubic pain , frequent urination , vaginal discharge , vaginal pain , sharp abdominal pain , diaper rash , vaginal itching , skin rash , pelvic pain",Infectious Disease Specialist
spina bifida,"skin lesion , eye moves abnormally , back pain , disturbance of memory , headache , involuntary urination",General Practitioner
drug poisoning due to medication,"depression , depressive or psychotic symptoms , abusing alcohol , drug abuse , lip swelling , slurring words , sleepiness",General Practitioner
alcoholic liver disease,"abnormal involuntary movements , peripheral edema , weight gain , stomach bloating , sharp abdominal pain , diarrhea , abusing alcohol",General Practitioner
malignant hypertension,"sharp chest pain , insomnia , headache , depressive or psychotic symptoms , lower body pain , shortness of breath , vomiting",General Practitioner
diverticulitis,"blood in stool , sharp abdominal pain , vomiting , diarrhea , lower abdominal pain , burning abdominal pain , side pain , fever , nausea , constipation , upper abdominal pain , chills",General Practitioner
moyamoya disease,"depressive or psychotic symptoms , elbow weakness",General Practitioner
heat exhaustion,"shortness of breath , dizziness , vomiting , headache , weakness , sharp chest pain , fluid retention , fainting",General Practitioner
psychotic disorder,"depression , depressive or psychotic symptoms , insomnia , abusing alcohol , excessive anger , temper problems , fears and phobias , hysterical behavior , anxiety and nervousness , hostile behavior , delusions or hallucinations",Psychiatrist
frostbite,"sharp chest pain , elbow weakness , foot or toe pain",General Practitioner
atrophy of the corpus cavernosum,"frequent urination , skin growth , bumps on penis , abnormal appearing skin , impotence",General Practitioner
smoking or tobacco addiction,"shortness of breath , abusing alcohol , coughing up sputum , drug abuse , smoking problems , hemoptysis , hurts to breath , sharp chest pain , cough , headache , excessive anger",General Practitioner
sprain or strain,"leg pain , headache , hand or finger pain , arm pain , back pain , neck pain , low back pain , knee pain , wrist pain , foot or toe pain , ankle pain , shoulder pain",General Practitioner
essential tremor,"dizziness , abnormal involuntary movements , hoarse voice , problems with movement , disturbance of memory , muscle pain , loss of sensation",General Practitioner
open wound of the ear,"dry lips , facial pain , ear pain , fluid in ear , bleeding from ear",General Practitioner
foreign body in the nose,"nasal congestion , regurgitation.1",General Practitioner
idiopathic painful menstruation,"lower abdominal pain , vaginal discharge , cramps and spasms , blood clots during menstrual periods , long menstrual periods , heavy menstrual flow , unpredictable menstruation , pelvic pain , sharp abdominal pain , vaginal itching , painful menstruation",Pain Management Specialist
down syndrome,"difficulty speaking , nasal congestion , lack of growth , seizures , cough , decreased appetite",Geneticist
idiopathic infrequent menstruation,"retention of urine , sharp abdominal pain , nausea , unpredictable menstruation",General Practitioner
pneumothorax,"shortness of breath , drug abuse , shoulder pain , sharp chest pain , cough , side pain , back pain , hurts to breath",General Practitioner
de quervain disease,"abnormal involuntary movements , wrist pain , hand or finger swelling , wrist swelling , hand or finger pain , arm pain , shoulder pain",General Practitioner
fracture of the vertebra,"hip pain , hand or finger stiffness or tightness , back pain , neck pain , leg stiffness or tightness , pelvic pain , bones are painful , low back pain",Orthopedic Surgeon
human immunodeficiency virus infection (hiv),"drug abuse , fears and phobias , nightmares",Infectious Disease Specialist
mumps,"sore throat , swollen lymph nodes , ear pain , shoulder swelling",General Practitioner
subarachnoid hemorrhage,"dizziness , fainting , vomiting , headache , symptoms of eye , loss of sensation",General Practitioner
acute fatty liver of pregnancy (aflp),"emotional symptoms , sharp abdominal pain",Obstetrician
ectropion,"white discharge from eye , symptoms of eye , pain in eye , eye redness , lacrimation",General Practitioner
scar,"skin swelling , lip swelling , skin lesion , skin growth , skin moles , itching of skin , abnormal appearing skin",General Practitioner
lactose intolerance,"shortness of breath , nasal congestion , flatulence , diarrhea , impotence , burning abdominal pain",General Practitioner
eustachian tube dysfunction (ear disorder),"dizziness , sore throat , ear pain , allergic reaction , redness in ear , swollen or red tonsils , ringing in ear , abnormal breathing sounds , nasal congestion , diminished hearing , plugged feeling in ear",Psychiatrist
appendicitis,"sharp abdominal pain , diarrhea , burning abdominal pain , decreased appetite , side pain , upper abdominal pain , lower abdominal pain , fever , stomach bloating , vomiting , nausea",General Practitioner
graves disease,"dizziness , abnormal involuntary movements , palpitations , irregular heartbeat , hemoptysis , sweating , involuntary urination",General Practitioner
dissociative disorder,"anxiety and nervousness , back weakness , excessive anger , disturbance of memory , depressive or psychotic symptoms",Psychiatrist
open wound of the face,"wrist swelling , facial pain",General Practitioner
dislocation of the vertebra,"leg pain , elbow weakness , back pain , neck pain , low back pain",General Practitioner
phimosis,"retention of urine , symptoms of the scrotum and testes , blood in urine , penis pain , penis redness , painful urination",General Practitioner
hyperemesis gravidarum,"sharp abdominal pain , nausea , diarrhea , pain during pregnancy , vomiting blood , burning abdominal pain , problems during pregnancy , dizziness , weakness , vomiting , headache",General Practitioner
pregnancy,"pain during pregnancy , spotting or bleeding during pregnancy , cramps and spasms , uterine contractions , problems during pregnancy , pelvic pressure",Obstetrician
thalassemia,"insomnia , elbow weakness",General Practitioner
placenta previa,"involuntary urination , spotting or bleeding during pregnancy , pain during pregnancy , cramps and spasms",General Practitioner
epidural hemorrhage,"depressive or psychotic symptoms , dizziness , emotional symptoms",General Practitioner
septic arthritis,"leg pain , hip pain , knee pain , knee swelling , fever",General Practitioner
athlete's foot,"abnormal appearing skin , skin lesion , foot or toe pain , irregular appearing nails , skin dryness, peeling, scaliness, or roughness , skin rash , skin swelling , foot or toe swelling",General Practitioner
pleural effusion,"shortness of breath , sharp chest pain , cough , sharp abdominal pain , back pain , hurts to breath , side pain , difficulty breathing , rib pain , weakness",General Practitioner
aphakia,"symptoms of eye , spots or clouds in vision , eye burns or stings , diminished vision",General Practitioner
vulvar disorder,"vaginal itching , pain during intercourse , vaginal pain , skin dryness, peeling, scaliness, or roughness , vaginal discharge , vulvar irritation",Psychiatrist
sialoadenitis,"sore throat , cough , facial pain , swollen lymph nodes , peripheral edema , neck mass , jaw swelling , neck swelling , nasal congestion",General Practitioner
gynecomastia,"back pain , neck pain , bones are painful , lump or mass of breast , skin swelling , problems with shape or size of breast , pain or soreness of breast",General Practitioner
urinary tract infection,"retention of urine , vomiting , painful urination , frequent urination , back pain , suprapubic pain , nausea , blood in urine , side pain , lower abdominal pain , fever",Infectious Disease Specialist
histoplasmosis,"cough , elbow weakness , lacrimation",General Practitioner
erythema multiforme,"vomiting , mouth ulcer , skin rash , difficulty in swallowing , fever",General Practitioner
scoliosis,"back pain , leg pain , knee swelling , knee stiffness or tightness , low back pain , problems with movement , lower body pain",General Practitioner
bunion,"skin growth , knee pain , foot or toe pain , skin moles , foot or toe lump or mass",General Practitioner
arrhythmia,"shortness of breath , sharp chest pain , chest tightness , palpitations , leg cramps or spasms , dizziness , fainting , fatigue",General Practitioner
trigeminal neuralgia,"dizziness , abnormal involuntary movements , headache , facial pain , toothache , symptoms of the face , pain in eye",General Practitioner
ankylosing spondylitis,"leg pain , hip pain , back pain , low back pain , elbow pain , paresthesia , stiffness all over , knee pain , ache all over , lower body pain",General Practitioner
peripheral nerve disorder,"dizziness , abnormal involuntary movements , leg pain , back pain , foot or toe pain , problems with movement , loss of sensation , disturbance of memory , arm pain , paresthesia , arm weakness , leg weakness",Psychiatrist
